x,y,z,sx,sy,sz
755499.12,3279287.69,32.94,0.0156,0.0349,0.0669
755499.90,3279288.02,33.02,0.0229,0.0423,0.0762
755498.42,3279280.05,32.74,0.0088,0.0087,0.0280
755497.53,3279278.91,32.73,0.0058,0.0057,0.0139
755496.58,3279278.50,32.72,0.0060,0.0056,0.0138
755497.81,3279279.75,32.73,0.0058,0.0057,0.0140
755504.25,3279283.62,32.97,0.0155,0.0076,0.0249
755505.07,3279283.32,33.01,0.0411,0.0092,0.0520
755496.98,3279279.89,32.72,0.0060,0.0058,0.0140
755501.37,3279288.19,33.07,0.0107,0.0139,0.0259
755496.63,3279282.30,32.74,0.0078,0.0075,0.0218
755497.41,3279278.53,32.71,0.0057,0.0055,0.0134
755501.15,3279280.65,32.85,0.0119,0.0084,0.0320
755497.38,3279279.73,32.73,0.0058,0.0057,0.0136
755496.69,3279283.23,32.75,0.0068,0.0072,0.0184
755497.29,3279280.07,32.73,0.0059,0.0058,0.0139
755497.72,3279282.03,32.74,0.0064,0.0067,0.0171
755502.30,3279282.49,33.01,0.0090,0.0069,0.0199
755497.00,3279279.92,32.72,0.0085,0.0075,0.0221
755499.20,3279279.24,32.77,0.0056,0.0057,0.0141
755499.55,3279279.42,32.76,0.0056,0.0057,0.0142
755493.82,3279275.97,32.59,0.0090,0.0126,0.0219
755498.51,3279279.16,32.73,0.0057,0.0057,0.0134
755495.94,3279277.64,32.72,0.0065,0.0065,0.0156
755496.27,3279278.13,32.73,0.0061,0.0056,0.0140
755503.16,3279282.56,33.00,0.0082,0.0068,0.0177
755498.88,3279280.04,32.77,0.0056,0.0057,0.0136
755503.63,3279283.01,32.96,0.0152,0.0082,0.0273
755500.60,3279281.23,32.89,0.0063,0.0062,0.0161
755500.34,3279281.46,32.87,0.0063,0.0063,0.0165
755501.96,3279282.59,32.97,0.0078,0.0078,0.0192
755500.40,3279281.71,32.94,0.0062,0.0063,0.0159
755503.15,3279283.79,33.02,0.0084,0.0075,0.0187
755498.44,3279280.88,32.75,0.0058,0.0060,0.0139
755498.08,3279280.72,32.75,0.0062,0.0062,0.0156
755500.13,3279282.24,32.94,0.0065,0.0066,0.0176
755498.89,3279282.72,32.80,0.0062,0.0067,0.0170
755501.91,3279284.70,32.95,0.0183,0.0152,0.0426
755497.95,3279284.28,32.83,0.0067,0.0079,0.0194
755502.07,3279280.32,32.97,0.0058,0.0060,0.0144
755497.37,3279278.05,32.72,0.0066,0.0059,0.0158
755502.17,3279280.42,32.99,0.0059,0.0061,0.0148
755503.69,3279280.98,33.01,0.0082,0.0068,0.0190
755498.52,3279277.45,32.68,0.0073,0.0074,0.0207
755499.12,3279277.16,32.74,0.0053,0.0052,0.0124
755503.08,3279279.43,33.00,0.0062,0.0062,0.0150
755503.27,3279281.24,33.01,0.0078,0.0077,0.0195
755497.52,3279276.77,32.73,0.0085,0.0058,0.0204
755499.30,3279278.56,32.77,0.0059,0.0066,0.0174
755503.40,3279280.91,33.02,0.0071,0.0066,0.0167
755495.74,3279277.83,32.70,0.0090,0.0069,0.0198
755501.16,3279280.14,32.92,0.0069,0.0074,0.0206
755499.03,3279282.69,32.81,0.0062,0.0072,0.0179
755496.07,3279274.96,32.56,0.0088,0.0195,0.0315
755496.36,3279275.22,32.64,0.0068,0.0111,0.0209
