imageName longitude latitude altitude Omega Phi Kappa
DJI_0001.JPG -96.36149499 29.61726075 42.50186984 0.37660390 -1.04847845 -140.70029262
DJI_0002.JPG -96.36147975 29.61724931 42.58891174 0.37149149 -1.73515488 -148.65694918
DJI_0003.JPG -96.36146580 29.61723697 42.70421747 0.28092021 -1.95384408 -148.65735413
DJI_0004.JPG -96.36145346 29.61722359 42.71656405 0.47820420 -2.47671165 -149.27221134
DJI_0005.JPG -96.36144010 29.61721019 43.03974238 0.54662753 -2.77632014 -149.41115116
DJI_0006.JPG -96.36142697 29.61719749 43.01271002 0.47414789 -3.14294643 -149.67960794
DJI_0007.JPG -96.36141455 29.61718545 42.89425449 0.52935722 -3.17100196 -149.69050812
DJI_0008.JPG -96.36140191 29.61717298 42.72555656 0.63532257 -2.88901102 -150.00855212
DJI_0009.JPG -96.36138880 29.61715954 42.78850895 0.43852217 -3.32972311 -150.40988568
DJI_0010.JPG -96.36137516 29.61714601 42.67682102 0.61992702 -3.24516635 -150.20916908
DJI_0011.JPG -96.36136093 29.61713200 42.79171680 0.66036393 -3.26542634 -149.93012516
DJI_0012.JPG -96.36134730 29.61711748 42.70540408 0.43655861 -3.37134926 -151.12585387
DJI_0013.JPG -96.36133439 29.61710237 42.63425209 1.03609878 -3.74650350 -150.84906798
DJI_0014.JPG -96.36131932 29.61708976 42.57316267 1.47821229 -3.59973715 -151.02144560
DJI_0015.JPG -96.36129453 29.61706513 42.88655164 1.78808009 -3.57891634 -151.30730529
DJI_0016.JPG -96.36128127 29.61705291 42.84501826 1.39685493 -3.59693001 -151.16416409
DJI_0017.JPG -96.36126802 29.61703992 42.66655607 1.45890634 -3.40251173 -151.14006210
DJI_0018.JPG -96.36125377 29.61702726 42.47026207 1.54855782 -2.84521423 -151.34160535
DJI_0019.JPG -96.36124114 29.61701444 42.48401619 2.04276894 -2.75541962 -151.69308631
DJI_0020.JPG -96.36122926 29.61699950 42.38492268 1.66842858 -3.35875290 -151.46798401
DJI_0021.JPG -96.36121598 29.61698803 42.62483873 2.09214446 -3.00654339 -151.07520859
DJI_0022.JPG -96.36120090 29.61697497 42.74207293 2.39072899 -2.97384432 -150.74639943
DJI_0023.JPG -96.36117603 29.61694848 42.60875959 2.11268948 -2.76386045 -150.15331062
DJI_0024.JPG -96.36116367 29.61693523 42.58847391 2.50056003 -2.87861523 -150.44009168
DJI_0025.JPG -96.36114978 29.61692228 42.68359603 2.51918340 -2.61773355 -150.78474316
DJI_0026.JPG -96.36113661 29.61690909 42.47163623 2.30455055 -3.07186388 -150.75923908
DJI_0027.JPG -96.36112156 29.61689748 42.36749098 2.64841246 -2.56785328 -151.15389744
DJI_0028.JPG -96.36110812 29.61688505 42.47777361 2.42032888 -2.80694480 -151.75023384
DJI_0029.JPG -96.36109315 29.61687315 42.40190131 2.98678179 -3.08119266 -151.77019666
DJI_0030.JPG -96.36104995 29.61683767 42.80936490 0.05211300 -1.67464452 -152.06179299
DJI_0031.JPG -96.36103697 29.61682394 42.73159917 0.09117377 -1.83349682 -151.93113862
DJI_0032.JPG -96.36102371 29.61681195 42.68408844 -0.10701739 -1.63091620 -152.20540250
DJI_0033.JPG -96.36100975 29.61679741 42.83516515 -0.19220208 -2.05368338 -152.06352008
DJI_0034.JPG -96.36099681 29.61678438 43.05062292 -0.27241061 -2.31848536 -151.42265870
DJI_0035.JPG -96.36098336 29.61677289 43.23647524 -0.06009504 -2.19931030 -151.50724342
DJI_0036.JPG -96.36095618 29.61674846 43.10085080 0.49670299 -2.74705260 -151.29779262
DJI_0037.JPG -96.36097752 29.61673216 42.82433681 -0.41393521 -3.25604916 56.25141574
DJI_0038.JPG -96.36098887 29.61674320 42.56712119 -1.03738612 -0.59704114 56.35888219
DJI_0039.JPG -96.36100272 29.61675582 42.55950805 -1.57351557 0.60248766 55.40329481
DJI_0040.JPG -96.36101699 29.61676823 42.57150571 -1.95490928 1.75863387 54.47632399
DJI_0041.JPG -96.36103140 29.61678155 42.56979585 -1.89121218 1.92846571 56.17797983
