DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0335461, 0.214674, -0.720712, 0.127204, 0.168708, -0.00659139
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.172529, -0.117017, -0.303649, 0.0462407, 0.0811805, 0.0168224
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.113009, -0.00425416, 0.204796, -0.126488, -0.110298, 0.00500366
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0499975, 0.0389594, -0.321655, 0.0593588, 0.0619289, -0.00333254
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0713098, -0.0589303, 0.467667, -0.0817137, -0.0864383, 0.00455863
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0184744, -0.0227555, -0.0251687, 0.050247, 0.0133824, 0.0861258
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.051661, 0.0181203, 0.034622, 0.046569, 0.0575598, 0.00580466
0.17831, -0.0335461, 0.172529, 0.113009, -0.0499975, 0.0713098, 0.0184744, -0.051661, 1, -0.0412504, 0.12518, -0.725354, -0.467954, -0.150475
-0.0883943, 0.214674, -0.117017, -0.00425416, 0.0389594, -0.0589303, -0.0227555, 0.0181203, -0.0412504, 1, -0.0577846, 0.357849, -0.662, -0.112698
0.983728, -0.720712, -0.303649, 0.204796, -0.321655, 0.467667, -0.0251687, 0.034622, 0.12518, -0.0577846, 1, -0.0901932, -0.216237, -0.000483511
-0.173251, 0.127204, 0.0462407, -0.126488, 0.0593588, -0.0817137, 0.050247, 0.046569, -0.725354, 0.357849, -0.0901932, 1, 0.131145, 0.0951664
-0.228029, 0.168708, 0.0811805, -0.110298, 0.0619289, -0.0864383, 0.0133824, 0.0575598, -0.467954, -0.662, -0.216237, 0.131145, 1, 0.0381086
0.00237159, -0.00659139, 0.0168224, 0.00500366, -0.00333254, 0.00455863, 0.0861258, 0.00580466, -0.150475, -0.112698, -0.000483511, 0.0951664, 0.0381086, 1
DJI_0046.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.185363, -0.116516, 0.985458, -0.193371, -0.211165, -0.00128987
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0382265, 0.237408, -0.721871, 0.138804, 0.158079, 0.00122104
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.179925, -0.112914, -0.303648, 0.05015, 0.0781249, 0.0202165
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.11282, -0.00488339, 0.206778, -0.128068, -0.107854, 0.00459242
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0526137, 0.0473744, -0.322197, 0.0645473, 0.0578577, -8.63701e-06
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0749195, -0.0711689, 0.468468, -0.0894986, -0.0803459, 0.00091752
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0214594, -0.0213252, -0.0252778, 0.0503965, 0.0155972, 0.0900317
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0482893, 0.0139328, 0.0333774, 0.0441529, 0.0570516, -0.0110211
0.185363, -0.0382265, 0.179925, 0.11282, -0.0526137, 0.0749195, 0.0214594, -0.0482893, 1, 0.0150147, 0.142089, -0.734474, -0.501233, -0.101618
-0.116516, 0.237408, -0.112914, -0.00488339, 0.0473744, -0.0711689, -0.0213252, 0.0139328, 0.0150147, 1, -0.0962691, 0.302838, -0.672458, -0.179064
0.985458, -0.721871, -0.303648, 0.206778, -0.322197, 0.468468, -0.0252778, 0.0333774, 0.142089, -0.0962691, 1, -0.125448, -0.196588, -0.00635516
-0.193371, 0.138804, 0.05015, -0.128068, 0.0645473, -0.0894986, 0.0503965, 0.0441529, -0.734474, 0.302838, -0.125448, 1, 0.18083, 0.073306
-0.211165, 0.158079, 0.0781249, -0.107854, 0.0578577, -0.0803459, 0.0155972, 0.0570516, -0.501233, -0.672458, -0.196588, 0.18083, 1, 0.0766713
-0.00128987, 0.00122104, 0.0202165, 0.00459242, -8.63701e-06, 0.00091752, 0.0900317, -0.0110211, -0.101618, -0.179064, -0.00635516, 0.073306, 0.0766713, 1
DJI_0047.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.137422, -0.121478, 0.986569, -0.169589, -0.191839, 0.0113312
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.00262837, 0.243338, -0.722449, 0.119851, 0.144382, -0.00395731
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.202615, -0.111527, -0.303181, 0.0437335, 0.0726821, 0.0151113
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.0998584, -0.00258356, 0.208807, -0.118377, -0.103275, 0.0109549
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.035454, 0.0491659, -0.322629, 0.0543098, 0.0512146, -0.00642348
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0504772, -0.0730436, 0.468996, -0.0751289, -0.0714135, 0.00928491
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0244463, -0.0183974, -0.0253601, 0.0508405, 0.0163022, 0.0886238
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0485961, 0.0105885, 0.0321209, 0.0435742, 0.0574784, -0.0215137
0.137422, -0.00262837, 0.202615, 0.0998584, -0.035454, 0.0504772, 0.0244463, -0.0485961, 1, 0.0477206, 0.104763, -0.736859, -0.502974, -0.066259
-0.121478, 0.243338, -0.111527, -0.00258356, 0.0491659, -0.0730436, -0.0183974, 0.0105885, 0.0477206, 1, -0.1084, 0.276333, -0.68623, -0.203191
0.986569, -0.722449, -0.303181, 0.208807, -0.322629, 0.468996, -0.0253601, 0.0321209, 0.104763, -0.1084, 1, -0.11695, -0.177407, 0.0056288
-0.169589, 0.119851, 0.0437335, -0.118377, 0.0543098, -0.0751289, 0.0508405, 0.0435742, -0.736859, 0.276333, -0.11695, 1, 0.187543, 0.0519444
-0.191839, 0.144382, 0.0726821, -0.103275, 0.0512146, -0.0714135, 0.0163022, 0.0574784, -0.502974, -0.68623, -0.177407, 0.187543, 1, 0.0944577
0.0113312, -0.00395731, 0.0151113, 0.0109549, -0.00642348, 0.00928491, 0.0886238, -0.0215137, -0.066259, -0.203191, 0.0056288, 0.0519444, 0.0944577, 1
DJI_0048.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.223847, -0.00886211, 0.987299, -0.188797, -0.266099, -0.00540194
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0616656, 0.159702, -0.723791, 0.129486, 0.198153, 0.00656937
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.168109, -0.15167, -0.302792, 0.0538709, 0.0930359, 0.0109306
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.10939, 0.0257555, 0.210521, -0.109211, -0.117444, 0.0059457
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0613629, 0.0131636, -0.322895, 0.0577006, 0.0740694, -0.00129279
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.090043, -0.0212905, 0.469336, -0.0831847, -0.105098, 0.00167659
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0245057, -0.0190354, -0.0252978, 0.0492996, 0.0184961, 0.0796337
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0400458, 0.00870291, 0.0308245, 0.0357817, 0.0545526, -0.0243122
0.223847, -0.0616656, 0.168109, 0.10939, -0.0613629, 0.090043, 0.0245057, -0.0400458, 1, 0.0948657, 0.197911, -0.736584, -0.556621, -0.0728286
-0.00886211, 0.159702, -0.15167, 0.0257555, 0.0131636, -0.0212905, -0.0190354, 0.00870291, 0.0948657, 1, -0.00448834, 0.257378, -0.697361, -0.216809
0.987299, -0.723791, -0.302792, 0.210521, -0.322895, 0.469336, -0.0252978, 0.0308245, 0.197911, -0.00448834, 1, -0.148544, -0.247912, -0.00805011
-0.188797, 0.129486, 0.0538709, -0.109211, 0.0577006, -0.0831847, 0.0492996, 0.0357817, -0.736584, 0.257378, -0.148544, 1, 0.216342, 0.0585453
-0.266099, 0.198153, 0.0930359, -0.117444, 0.0740694, -0.105098, 0.0184961, 0.0545526, -0.556621, -0.697361, -0.247912, 0.216342, 1, 0.132733
-0.00540194, 0.00656937, 0.0109306, 0.0059457, -0.00129279, 0.00167659, 0.0796337, -0.0243122, -0.0728286, -0.216809, -0.00805011, 0.0585453, 0.132733, 1
DJI_0049.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.109856, -0.104339, 0.98809, -0.151218, -0.183989, 0.0138474
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, 0.021612, 0.228383, -0.723149, 0.101018, 0.138457, -0.00753236
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.210436, -0.124209, -0.301808, 0.0326292, 0.0679123, 0.0172451
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.0809467, 0.011695, 0.211982, -0.0893323, -0.102484, 0.012535
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0234389, 0.0432834, -0.323032, 0.0430702, 0.047894, -0.00610308
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0358319, -0.0658367, 0.469596, -0.064159, -0.066724, 0.00890705
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0294575, -0.0135347, -0.0251265, 0.0453278, 0.017086, 0.0723665
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0390249, -0.00235093, 0.0298836, 0.0269144, 0.0595169, -0.0240096
0.109856, 0.021612, 0.210436, 0.0809467, -0.0234389, 0.0358319, 0.0294575, -0.0390249, 1, 0.0915185, 0.0945105, -0.743941, -0.546858, -0.0605226
-0.104339, 0.228383, -0.124209, 0.011695, 0.0432834, -0.0658367, -0.0135347, -0.00235093, 0.0915185, 1, -0.103842, 0.278347, -0.69345, -0.235453
0.98809, -0.723149, -0.301808, 0.211982, -0.323032, 0.469596, -0.0251265, 0.0298836, 0.0945105, -0.103842, 1, -0.125219, -0.167281, 0.0105483
-0.151218, 0.101018, 0.0326292, -0.0893323, 0.0430702, -0.064159, 0.0453278, 0.0269144, -0.743941, 0.278347, -0.125219, 1, 0.203038, 0.0549237
-0.183989, 0.138457, 0.0679123, -0.102484, 0.047894, -0.066724, 0.017086, 0.0595169, -0.546858, -0.69345, -0.167281, 0.203038, 1, 0.154466
0.0138474, -0.00753236, 0.0172451, 0.012535, -0.00610308, 0.00890705, 0.0723665, -0.0240096, -0.0605226, -0.235453, 0.0105483, 0.0549237, 0.154466, 1
DJI_0050.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.22876, -0.0453854, 0.987914, -0.210182, -0.235763, -0.0190312
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0746578, 0.191897, -0.723837, 0.150516, 0.17433, 0.0171599
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.167227, -0.135096, -0.301631, 0.0567472, 0.0847522, 0.0288052
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.107121, 0.0236211, 0.212883, -0.106259, -0.110448, 0.00281532
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0674319, 0.0273432, -0.322972, 0.0692533, 0.0649506, 0.00671467
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0968146, -0.0408976, 0.469573, -0.0978683, -0.0916207, -0.00861004
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0281485, -0.0123407, -0.0249711, 0.0462978, 0.0189722, 0.0673189
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0308155, -0.00647138, 0.0290262, 0.0191846, 0.0570538, -0.0091608
0.22876, -0.0746578, 0.167227, 0.107121, -0.0674319, 0.0968146, 0.0281485, -0.0308155, 1, 0.139222, 0.201808, -0.755529, -0.582086, -0.0829477
-0.0453854, 0.191897, -0.135096, 0.0236211, 0.0273432, -0.0408976, -0.0123407, -0.00647138, 0.139222, 1, -0.0458974, 0.210228, -0.710859, -0.280645
0.987914, -0.723837, -0.301631, 0.212883, -0.322972, 0.469573, -0.0249711, 0.0290262, 0.201808, -0.0458974, 1, -0.17005, -0.213194, -0.0182143
-0.210182, 0.150516, 0.0567472, -0.106259, 0.0692533, -0.0978683, 0.0462978, 0.0191846, -0.755529, 0.210228, -0.17005, 1, 0.257913, 0.096864
-0.235763, 0.17433, 0.0847522, -0.110448, 0.0649506, -0.0916207, 0.0189722, 0.0570538, -0.582086, -0.710859, -0.213194, 0.257913, 1, 0.185855
-0.0190312, 0.0171599, 0.0288052, 0.00281532, 0.00671467, -0.00861004, 0.0673189, -0.0091608, -0.0829477, -0.280645, -0.0182143, 0.096864, 0.185855, 1
DJI_0051.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.252495, -0.0214629, 0.988702, -0.216723, -0.254428, -0.0274526
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0907654, 0.176142, -0.724699, 0.156417, 0.187181, 0.0257687
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.152925, -0.142147, -0.301303, 0.0639298, 0.088941, 0.0287849
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.106871, 0.0322927, 0.214158, -0.0964342, -0.114482, 0.00226388
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0739132, 0.0206888, -0.323342, 0.0691243, 0.0697914, 0.00850373
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.106965, -0.0310605, 0.470124, -0.0995061, -0.0989694, -0.0119094
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0285431, -0.0109374, -0.0246404, 0.0439063, 0.0203383, 0.0589482
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0311141, -0.0108945, 0.028361, 0.0182453, 0.0601999, -0.00695398
0.252495, -0.0907654, 0.152925, 0.106871, -0.0739132, 0.106965, 0.0285431, -0.0311141, 1, 0.146044, 0.22956, -0.758412, -0.595696, -0.0975965
-0.0214629, 0.176142, -0.142147, 0.0322927, 0.0206888, -0.0310605, -0.0109374, -0.0108945, 0.146044, 1, -0.0222265, 0.217773, -0.708944, -0.250423
0.988702, -0.724699, -0.301303, 0.214158, -0.323342, 0.470124, -0.0246404, 0.028361, 0.22956, -0.0222265, 1, -0.181521, -0.233322, -0.0245727
-0.216723, 0.156417, 0.0639298, -0.0964342, 0.0691243, -0.0995061, 0.0439063, 0.0182453, -0.758412, 0.217773, -0.181521, 1, 0.260444, 0.126377
-0.254428, 0.187181, 0.088941, -0.114482, 0.0697914, -0.0989694, 0.0203383, 0.0601999, -0.595696, -0.708944, -0.233322, 0.260444, 1, 0.174163
-0.0274526, 0.0257687, 0.0287849, 0.00226388, 0.00850373, -0.0119094, 0.0589482, -0.00695398, -0.0975965, -0.250423, -0.0245727, 0.126377, 0.174163, 1
DJI_0052.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.210947, -0.0335542, 0.989284, -0.186608, -0.231709, -0.0180073
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0597886, 0.182205, -0.725013, 0.12998, 0.171071, 0.0206683
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.157998, -0.130961, -0.300925, 0.0590691, 0.0805831, 0.0273585
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.0931642, 0.0327905, 0.215087, -0.0789573, -0.108577, 0.00504555
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.059885, 0.0256628, -0.323637, 0.0577644, 0.0616324, 0.00408654
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.086591, -0.0372806, 0.470507, -0.0834468, -0.0878332, -0.00663004
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0272985, -0.0044811, -0.0242565, 0.0437972, 0.0186954, 0.0456228
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0282424, -0.0157047, 0.0276857, 0.0123245, 0.0599562, -0.00576117
0.210947, -0.0597886, 0.157998, 0.0931642, -0.059885, 0.086591, 0.0272985, -0.0282424, 1, 0.14779, 0.188641, -0.777378, -0.594718, -0.115912
-0.0335542, 0.182205, -0.130961, 0.0327905, 0.0256628, -0.0372806, -0.0044811, -0.0157047, 0.14779, 1, -0.0381519, 0.213973, -0.715867, -0.2427
0.989284, -0.725013, -0.300925, 0.215087, -0.323637, 0.470507, -0.0242565, 0.0276857, 0.188641, -0.0381519, 1, -0.15473, -0.206946, -0.0136587
-0.186608, 0.12998, 0.0590691, -0.0789573, 0.0577644, -0.0834468, 0.0437972, 0.0123245, -0.777378, 0.213973, -0.15473, 1, 0.266359, 0.143034
-0.231709, 0.171071, 0.0805831, -0.108577, 0.0616324, -0.0878332, 0.0186954, 0.0599562, -0.594718, -0.715867, -0.206946, 0.266359, 1, 0.182734
-0.0180073, 0.0206683, 0.0273585, 0.00504555, 0.00408654, -0.00663004, 0.0456228, -0.00576117, -0.115912, -0.2427, -0.0136587, 0.143034, 0.182734, 1
DJI_0053.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.225652, 0.10081, 0.989469, -0.157327, -0.2899, -0.021533
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0682346, 0.0834103, -0.725694, 0.107318, 0.213602, 0.0178288
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.152077, -0.169304, -0.300436, 0.0536991, 0.099474, 0.0224681
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.0920814, 0.0648293, 0.215472, -0.0643741, -0.119839, 0.00405977
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0649322, -0.0169839, -0.323881, 0.0487853, 0.0799977, 0.0030978
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0940585, 0.0249575, 0.470862, -0.0707992, -0.114835, -0.00639513
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0265598, -0.00378312, -0.024056, 0.04478, 0.0197399, 0.0375359
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0236977, -0.0155445, 0.0273299, 0.00669283, 0.056896, -0.0123956
0.225652, -0.0682346, 0.152077, 0.0920814, -0.0649322, 0.0940585, 0.0265598, -0.0236977, 1, 0.171087, 0.210165, -0.775962, -0.592656, -0.137476
0.10081, 0.0834103, -0.169304, 0.0648293, -0.0169839, 0.0249575, -0.00378312, -0.0155445, 0.171087, 1, 0.0838628, 0.19772, -0.739659, -0.271748
0.989469, -0.725694, -0.300436, 0.215472, -0.323881, 0.470862, -0.024056, 0.0273299, 0.210165, 0.0838628, 1, -0.140178, -0.258194, -0.0179107
-0.157327, 0.107318, 0.0536991, -0.0643741, 0.0487853, -0.0707992, 0.04478, 0.00669283, -0.775962, 0.19772, -0.140178, 1, 0.258278, 0.166796
-0.2899, 0.213602, 0.099474, -0.119839, 0.0799977, -0.114835, 0.0197399, 0.056896, -0.592656, -0.739659, -0.258194, 0.258278, 1, 0.224673
-0.021533, 0.0178288, 0.0224681, 0.00405977, 0.0030978, -0.00639513, 0.0375359, -0.0123956, -0.137476, -0.271748, -0.0179107, 0.166796, 0.224673, 1
DJI_0054.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.139795, 0.0185156, 0.988588, -0.120913, -0.228761, -0.00508793
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.00986889, 0.141926, -0.724076, 0.0809867, 0.168931, 0.00535495
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.183503, -0.13277, -0.299689, 0.0388583, 0.0834157, 0.0177474
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.0698232, 0.0549666, 0.215468, -0.0463587, -0.111267, 0.00952817
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0338805, 0.00581571, -0.323459, 0.0298974, 0.0617941, -0.00527989
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0501975, -0.0103119, 0.470391, -0.0466297, -0.0871075, 0.00339261
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0296007, 0.00237385, -0.0238748, 0.0413856, 0.0175877, 0.0315584
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0267718, -0.0225291, 0.027145, 0.00603525, 0.061098, -0.0169343
0.139795, -0.00986889, 0.183503, 0.0698232, -0.0338805, 0.0501975, 0.0296007, -0.0267718, 1, 0.12683, 0.13488, -0.788151, -0.52966, -0.0508824
0.0185156, 0.141926, -0.13277, 0.0549666, 0.00581571, -0.0103119, 0.00237385, -0.0225291, 0.12683, 1, -0.00137175, 0.223829, -0.747416, -0.238969
0.988588, -0.724076, -0.299689, 0.215468, -0.323459, 0.470391, -0.0238748, 0.027145, 0.13488, -0.00137175, 1, -0.119548, -0.196222, -0.0035569
-0.120913, 0.0809867, 0.0388583, -0.0463587, 0.0298974, -0.0466297, 0.0413856, 0.00603525, -0.788151, 0.223829, -0.119548, 1, 0.205814, 0.10572
-0.228761, 0.168931, 0.0834157, -0.111267, 0.0617941, -0.0871075, 0.0175877, 0.061098, -0.52966, -0.747416, -0.196222, 0.205814, 1, 0.182648
-0.00508793, 0.00535495, 0.0177474, 0.00952817, -0.00527989, 0.00339261, 0.0315584, -0.0169343, -0.0508824, -0.238969, -0.0035569, 0.10572, 0.182648, 1
DJI_0055.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, 0.142602, 0.110465, 0.986898, -0.108674, -0.268238, -0.00575654
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.013639, 0.0742601, -0.723844, 0.0781152, 0.199581, 0.0234563
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, 0.168244, -0.144621, -0.298394, 0.0579483, 0.0888333, -0.00150044
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.109726, 0.048466, 0.216039, -0.100864, -0.117978, -0.0155161
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, -0.0499141, -0.0223817, -0.322466, 0.0424817, 0.0810421, 0.00298992
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, 0.0638334, 0.0288235, 0.469417, -0.0562364, -0.108349, -0.00322754
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, 0.0203977, 0.00964864, -0.0238763, 0.0533197, 0.0204841, 0.0449042
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, -0.0474612, -0.0066959, 0.0259189, 0.0365083, 0.0612897, 0.0566891
0.142602, -0.013639, 0.168244, 0.109726, -0.0499141, 0.0638334, 0.0203977, -0.0474612, 1, 0.192996, 0.136949, -0.771628, -0.609924, -0.136744
0.110465, 0.0742601, -0.144621, 0.048466, -0.0223817, 0.0288235, 0.00964864, -0.0066959, 0.192996, 1, 0.0950393, 0.146042, -0.734399, -0.0651354
