DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.0236072, 0.00470692, 0.457503, -0.0247682, -0.0738091, -0.000487178
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, -0.00738064, 0.0129896, -0.0197717, 0.0434761, -0.0149714, -0.0249951
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, 0.0193052, -0.0393194, 0.0296799, 0.027251, 0.0085923, 0.089409
-0.0491988, -0.0745487, -0.096176, 0.0154679, 0.010363, -0.0236072, -0.00738064, 0.0193052, 1, 0.02444, -0.0135064, 0.403851, 0.686632, 0.338925
0.0259653, -0.0848661, 0.121858, 0.069197, -0.00755372, 0.00470692, 0.0129896, -0.0393194, 0.02444, 1, -0.0805152, -0.73133, 0.559313, -0.210097
0.961228, -0.70282, -0.290584, 0.202383, -0.313537, 0.457503, -0.0197717, 0.0296799, -0.0135064, -0.0805152, 1, 0.0878873, -0.175963, 0.0506879
-0.0643746, 0.0440146, 0.0270963, -0.0702928, 0.0196637, -0.0247682, 0.0434761, 0.027251, 0.403851, -0.73133, 0.0878873, 1, -0.143459, 0.334441
-0.13187, 0.0920608, 0.0212284, 0.0348913, 0.0447501, -0.0738091, -0.0149714, 0.0085923, 0.686632, 0.559313, -0.175963, -0.143459, 1, -0.0675053
-0.00919643, 0.027101, 0.0097561, -0.00197607, -0.00298485, -0.000487178, -0.0249951, 0.089409, 0.338925, -0.210097, 0.0506879, 0.334441, -0.0675053, 1
DJI_0004.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.127314, 0.000996281, 0.9665, -0.0806655, -0.179704, -0.0141904
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, -0.0221739, -0.0714789, -0.707108, 0.0567249, 0.126949, 0.0335159
-0.304209, 0.264778, 1, -0.0824368, 0.101751, -0.146061, 0.134816, -0.0272581, -0.0747114, 0.14005, -0.292339, 0.0312132, 0.0354273, 0.0106791
0.205054, -0.143831, -0.0824368, 1, -0.927418, 0.846166, -0.0259827, -0.0333341, 0.00223708, 0.063524, 0.205245, -0.0741471, 0.0248387, -0.00369695
-0.323996, 0.243727, 0.101751, -0.927418, 1, -0.972333, 0.0141479, -0.00700086, 0.0376229, 0.00184431, -0.315194, 0.025237, 0.0624258, -0.00238842
0.472636, -0.354886, -0.146061, 0.846166, -0.972333, 1, -0.0164753, 0.0164986, -0.0626935, -0.00814891, 0.459865, -0.032854, -0.0984864, -0.00203037
