filename,bandname,wavelength,time,sunsensor_sun_angle_degree,sunsensor_nadir_angle_degree,sun_irradiance
DJI_0001.JPG,Red,660,1657627385.000000,,,
DJI_0001.JPG,Green,550.000000,1657627385.000000,,,
DJI_0001.JPG,Blue,470.000000,1657627385.000000,,,
DJI_0002.JPG,Red,660.000000,1657627390.000000,,,
DJI_0002.JPG,Green,550.000000,1657627390.000000,,,
DJI_0002.JPG,Blue,470.000000,1657627390.000000,,,
DJI_0003.JPG,Red,660.000000,1657627393.000000,,,
DJI_0003.JPG,Green,550.000000,1657627393.000000,,,
DJI_0003.JPG,Blue,470.000000,1657627393.000000,,,
DJI_0004.JPG,Red,660.000000,1657627397.000000,,,
DJI_0004.JPG,Green,550.000000,1657627397.000000,,,
DJI_0004.JPG,Blue,470.000000,1657627397.000000,,,
DJI_0005.JPG,Red,660.000000,1657627400.000000,,,
DJI_0005.JPG,Green,550.000000,1657627400.000000,,,
DJI_0005.JPG,Blue,470.000000,1657627400.000000,,,
DJI_0006.JPG,Red,660.000000,1657627404.000000,,,
DJI_0006.JPG,Green,550.000000,1657627404.000000,,,
DJI_0006.JPG,Blue,470.000000,1657627404.000000,,,
DJI_0007.JPG,Red,660.000000,1657627408.000000,,,
DJI_0007.JPG,Green,550.000000,1657627408.000000,,,
DJI_0007.JPG,Blue,470.000000,1657627408.000000,,,
DJI_0008.JPG,Red,660.000000,1657627411.000000,,,
DJI_0008.JPG,Green,550.000000,1657627411.000000,,,
DJI_0008.JPG,Blue,470.000000,1657627411.000000,,,
DJI_0009.JPG,Red,660.000000,1657627415.000000,,,
DJI_0009.JPG,Green,550.000000,1657627415.000000,,,
DJI_0009.JPG,Blue,470.000000,1657627415.000000,,,
DJI_0010.JPG,Red,660.000000,1657627418.000000,,,
DJI_0010.JPG,Green,550.000000,1657627418.000000,,,
DJI_0010.JPG,Blue,470.000000,1657627418.000000,,,
DJI_0011.JPG,Red,660.000000,1657627422.000000,,,
DJI_0011.JPG,Green,550.000000,1657627422.000000,,,
DJI_0011.JPG,Blue,470.000000,1657627422.000000,,,
DJI_0012.JPG,Red,660.000000,1657627426.000000,,,
DJI_0012.JPG,Green,550.000000,1657627426.000000,,,
DJI_0012.JPG,Blue,470.000000,1657627426.000000,,,
DJI_0013.JPG,Red,660.000000,1657627429.000000,,,
DJI_0013.JPG,Green,550.000000,1657627429.000000,,,
DJI_0013.JPG,Blue,470.000000,1657627429.000000,,,
